Iteracao,c1_0_c2_1,c1_1_c2_0,c1_1_c2_1,c1_1_c2_01,c1_2_c2_2,c1_4_c2_4
72,0.00000005,0.00111594,0.00000094,0.03538482,0.00000000,0.00000000
73,0.00000005,0.00111591,0.00000094,0.03538482,0.00000000,0.00000000
74,0.00000003,0.00111590,0.00000006,0.03538482,0.00000000,0.00000000
75,0.00000002,0.00111589,0.00000006,0.03538482,0.00000000,0.00000000
76,0.00000002,0.00111589,0.00000006,0.03538481,0.00000000,0.00000000
77,0.00000002,0.00111588,0.00000003,0.03538481,0.00000000,0.00000000
78,0.00000000,0.00111588,0.00000003,0.03538481,0.00000000,0.00000000
79,0.00000000,0.00111588,0.00000003,0.03538481,0.00000000,0.00000000
80,0.00000000,0.00111588,0.00000002,0.03538481,0.00000000,0.00000000
81,0.00000000,0.00111588,0.00000002,0.03538481,0.00000000,0.00000000
82,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
83,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
84,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
85,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
86,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
87,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
88,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
89,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
90,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
91,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
92,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
93,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
94,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
95,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
96,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
97,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
98,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
99,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
100,0.00000000,0.00111588,0.00000000,0.03538481,0.00000000,0.00000000
